,Timestamp,Time at Apple,Current Role,Years in Current Role,Current Hourly Rate,Annual Salary,RSU Grant,Age,State/Province,Ethnicity,Gender,State Count
571,4/28/2022 15:53:10,10-15 years,Genius Admin,0-1 years,26.66,"$55,449","$2,000",31-40,TX,White,Man,1
72,4/18/2022 19:39:41,10-15 years,Operations Expert,2-5 years,25.32,"$53,000.00","$2,000",31-40,TX,White,Man,1
531,4/25/2022 23:23:45,6-10 years,Technical Expert,2-5 years,26.9,"$54,011","$2,000",21-30,NV,Hispanic or Latino or Spanish Origin of any race,Man,1
220,4/20/2022 0:39:40,6-10 years,Manager,2-5 years,35.58,"$74,000.00","$16,000.00",41-50,NV,Black or African American,Woman,1
697,7/4/2022 16:50:45,0-1 years,Technical Specialist,0-1 years,21.0,"24,000",n,18-20,NV,I choose not to disclose,I choose not to disclose,1
419,4/22/2022 12:17:28,2-5 years,Specialist,2-5 years,22.0,39000,"$2,000",21-30,DC,Black or African American,Man,1
287,4/21/2022 0:43:15,6-10 years,Genius,2-5 years,27.0,"$56,000","$1,000",31-40,CT,Hispanic or Latino or Spanish Origin of any race,Man,1
70,4/18/2022 19:29:08,2-5 years,Pro,0-1 years,26.94,"$56,000.00",2000,31-40,CT,Hispanic or Latino or Spanish Origin of any race,Man,1
340,4/21/2022 14:22:42,2-5 years,Tech and Merchandising Pro,0-1 years,25.0,"$55,000","$2,500",21-30,CO,White,Man,1
474,4/23/2022 14:05:36,2-5 years,Genius,2-5 years,28.4,"$59,000ish","$2,000",21-30,CO,White,Transgender,1
621,5/5/2022 18:15:20,6-10 years,tier 2 ios advisor,2-5 years,26.36,"$55,424.98","$2,000",31-40,CA,Black or African American,Woman,1
270,4/20/2022 20:03:36,10-15 years,Lead,0-1 years,34.0,"$70,700","$2,500",31-40,CA,White,Man,1
48,4/18/2022 16:59:54,2-5 years,security engineer,2-5 years,100.0,"$135,000.00","$180,000",31-40,CA,Asian,Man,1
52,4/18/2022 17:22:57,6-10 years,Lead,0-1 years,34.0,"$70,000.00","1,500",31-40,CA,Hispanic or Latino or Spanish Origin of any race,Man,1
263,4/20/2022 18:10:25,6-10 years,account manager,2-5 years,44.32,"$92,400","$2,000",21-30,CA,White,Man,1
288,4/21/2022 1:21:20,0-1 years,Specialist,0-1 years,21.0,"15,000",0.25,21-30,CA,Hispanic or Latino or Spanish Origin of any race,Woman,1
213,4/19/2022 23:17:44,2-5 years,Specialist,2-5 years,17.0,"$16,320.00",$0.00,21-30,CA,Hispanic or Latino or Spanish Origin of any race,Man,1
603,5/1/2022 13:27:36,2-5 years,Specialist,2-5 years,23.59,"26,000","1,500 USD",21-30,CA,I choose not to disclose,I choose not to disclose,1
59,4/18/2022 18:02:33,2-5 years,Specialist,2-5 years,23.75,"$38,000.00","1,500",31-40,CA,Hispanic or Latino or Spanish Origin of any race,I choose not to disclose,1
598,5/1/2022 7:25:01,0-1 years,Technical Specialist,0-1 years,23.5,45825,0,21-30,CA,Asian,Man,1
211,4/19/2022 23:02:38,10-15 years,Genius,9-11 years,31.25,"$65,000.00","$2,000.00",31-40,CA,White,Woman,1
384,4/22/2022 2:01:02,6-10 years,Tech and Merchandising Pro,2-5 years,29.15,"61,000","$3,500",31-40,CA,Hispanic or Latino or Spanish Origin of any race,Woman,1
225,4/20/2022 4:37:30,2-5 years,Specialist,2-5 years,23.0,"$49,000.00",Unsure,21-30,CA,Hispanic or Latino or Spanish Origin of any race,Man,1
659,5/25/2022 2:23:00,2-5 years,Genius Admin,0-1 years,25.22,"$52,000","$1,500",21-30,CA,Black or African American,Man,1
2,4/18/2022 14:13:18,2-5 years,Operations Specialist,2-5 years,23.5,"$50,000.00"," $ 1,500.00 ",21-30,CA,Hispanic or Latino or Spanish Origin of any race,Man,1
5,4/18/2022 14:22:21,10-15 years,account manager,2-5 years,44.55,"$92,680.00", $ -   ,31-40,CA,Asian,Woman,1
7,4/18/2022 14:26:43,0-1 years,Technical Specialist,0-1 years,19.6,"$28,000.00", $ -   ,21-30,CA,White,Woman,1
672,5/31/2022 17:25:29,0-1 years,Specialist,0-1 years,22.5,"$30,000",None,31-40,CA,White,Man,1
669,5/27/2022 18:12:02,2-5 years,Genius Admin,0-1 years,24.16,"$25,118",Unsure,21-30,CA,White,Man,1
667,5/26/2022 23:00:27,2-5 years,Technical Specialist,0-1 years,22.68,"~42,000",1500,21-30,CA,Hispanic or Latino or Spanish Origin of any race,Woman,1
666,5/26/2022 22:20:43,2-5 years,Creative,0-1 years,25.77,"$26,793",unsure,21-30,CA,Hispanic or Latino or Spanish Origin of any race,Woman,1
