,Timestamp,Time at Apple,Current Role,Years in Current Role,Current Hourly Rate,Annual Salary,RSU Grant,Age,State/Province,Ethnicity,Gender
545,4/26/2022 16:56:26,6-10 years,Genius,0-1 years,31.34,"$53,000",RSU $2200 / merit $2,21-30,NY,White,Man
438,4/22/2022 17:23:58,6-10 years,Genius,2-5 years,30.24,"$63,000","$1,768",21-30,NY,Hispanic or Latino or Spanish Origin of any race,Woman
439,4/22/2022 17:30:04,10-15 years,Technical Expert,2-5 years,29.58,"$61,500","$2,400",31-40,NY,Black or African American,Woman
449,4/22/2022 19:45:00,2-5 years,Technical Specialist,0-1 years,23.9,"$36,000","$1,500",21-30,NY,Hispanic or Latino or Spanish Origin of any race,Man
306,4/21/2022 9:17:31,6-10 years,Genius Admin,2-5 years,25.5,"$51,000","2,000",21-30,NY,White,Woman
542,4/26/2022 16:31:43,6-10 years,Genius,2-5 years,33.0,"$68,640","$3,000",31-40,NY,Hispanic or Latino or Spanish Origin of any race,Man
430,4/22/2022 14:27:15,2-5 years,Lead,0-1 years,37.0,$78,"$3,000",21-30,NY,White,Woman
344,4/21/2022 15:18:52,2-5 years,Genius,0-1 years,29.01,"$60,200","$2,000",21-30,NY,Asian,I choose not to disclose
455,4/22/2022 22:20:26,2-5 years,Expert,0-1 years,22.93,22.91,"47,648",21-30,NY,Black or African American,Woman
352,4/21/2022 18:04:59,10-15 years,Manager,2-5 years,48.35,"$96,700","$20,000",31-40,NY,Black or African American,Man
341,4/21/2022 14:46:13,2-5 years,Genius,0-1 years,29.62,"$30,000","$2,000",21-30,NY,Asian,Woman
512,4/25/2022 10:54:59,2-5 years,Pro,2-5 years,28.0,"$58,239",1500,21-30,NY,Hispanic or Latino or Spanish Origin of any race,Man
522,4/25/2022 20:00:33,6-10 years,Genius,2-5 years,31.58,$66.00,$2.00,41-50,NY,Hispanic or Latino or Spanish Origin of any race,Man
